Глубина	Poro
2878,55	0.2
2879,4	0.3
2879,85	0.25
2880,1	0.24
2880,6	0.17
2880,75	0.33
2880,82	0.02
2881	0.1
2881,2	0.12
2881,5	0.13
2881,75	0.17
2882,1	0.33
2882,5	0.5
2882,8	0.51
2883,3	0.0
2883,4	0.12
2883,75	0.22
2884,3	0.14
2884,3	0.11
2886	0.08
2887,45	0.026
2889,3	0.06
2889,6	0.09
2889,8	0.024
2890,4	0.19
2891,6	0.17
2892,25	0.25
2892,25	0.25
2897,65	0.29
2897,85	0.30
2898	0.26
2898,3	0.14
2898,6	0.18
2898,7	0.2
2898,9	0.22
2899,2	0.05
2899,4	0.09
2899,7	0.09
2900	0.09
2900,3	0.11
2900,65	0.19
2900,95	0.16
2904,7	0.15
2906,3	0.04
2907,1	0.18
2908,3	0.18
